Timestamp,Course,State,Gender,"Overall how would you rate your mental health?
","Is there any history of mental health disorder in your family?
","On average, how many hours do you sleep per day?
",Have you ever used the counselling service provided by the college?,Family Structure,Is this the first time you're staying away from home?,How is prayer and meditation important in your daily life?,"On average, how stressed are you? ",How long have you been in Lavasa?,What strategies do you use to cope with stress and anxiety in your daily life?
10/19/2023 16:12:35,Other,Kerala,Male,4,No,4-6 hours,No,Nuclear Family,No,5,3,More than 2 years,Listening music
10/19/2023 16:34:13,MSc DS,Maharashtra,Female,3,No,4-6 hours,No,Nuclear Family,Yes,5,3,Less than 6 months,Listening music
10/19/2023 20:23:47,BBA LLB,Karnataka,Female,4,No,Less than 4 hours,Yes,Joint Family,No,4,3,More than 1 year,Sports
10/19/2023 20:30:02,Other,Kerala,Female,3,No,4-6 hours,No,Nuclear Family,Yes,4,4,Less than 6 months,Listening music
10/21/2023 1:25:21,MBA,Karnataka,Female,5,No,4-6 hours,No,Nuclear Family,No,5,4,Less than 6 months,Listening music
10/21/2023 8:24:03,MBA,Tamil Nadu,Male,4,No,Less than 4 hours,No,Joint Family,Yes,3,4,Less than 6 months,Listening music
10/21/2023 8:46:55,MSc DS,Kerala,Female,4,No,Less than 4 hours,No,Nuclear Family,No,3,5,Less than 6 months,Sports
10/21/2023 14:53:57,BBA LLB,Kerala,Female,4,No,Less than 4 hours,No,Joint Family,Yes,5,3,Less than 6 months,Listening music
10/21/2023 16:20:46,MBA,Kerala,Female,4,No,Less than 4 hours,No,Joint Family,Yes,4,4,Less than 6 months,Listening music
10/21/2023 20:51:42,BBA,Haryana,Female,4,No,Less than 4 hours,No,Joint Family,Yes,4,2,Less than 6 months,Listening music
10/21/2023 20:54:37,MBA,Uttar Pradesh,Female,4,No,Less than 4 hours,Yes,Joint Family,Yes,4,4,More than 1 year,Sports
10/21/2023 21:04:31,BBA,Rajasthan,Female,2,No,Less than 4 hours,No,Joint Family,No,4,4,Less than 6 months,Watching movies/series
10/21/2023 21:20:15,MA English,Andhra Pradesh,Male,2,No,Less than 4 hours,No,Joint Family,No,4,4,More than 1 year,Listening music
